Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
157,35,4,59,7,Some Random Commen with Id 157
158,35,4,139,3,Some Random Commen with Id 158
159,35,4,101,7,Some Random Commen with Id 159
160,36,7,139,4,Some Random Commen with Id 160
161,36,7,172,4,Some Random Commen with Id 161
162,36,7,22,1,Some Random Commen with Id 162
163,36,7,59,2,Some Random Commen with Id 163
164,36,7,177,8,Some Random Commen with Id 164
165,36,7,57,2,Some Random Commen with Id 165
166,36,7,146,9,Some Random Commen with Id 166
167,36,7,50,6,Some Random Commen with Id 167
168,37,1,118,5,Some Random Commen with Id 168
169,37,1,11,1,Some Random Commen with Id 169
170,37,1,78,2,Some Random Commen with Id 170
171,37,1,159,8,Some Random Commen with Id 171
172,37,1,52,8,Some Random Commen with Id 172
173,37,1,49,0,Some Random Commen with Id 173
174,38,9,52,6,Some Random Commen with Id 174
175,38,9,83,6,Some Random Commen with Id 175
176,38,9,114,3,Some Random Commen with Id 176
177,38,9,31,7,Some Random Commen with Id 177
178,38,9,103,9,Some Random Commen with Id 178
179,39,6,122,2,Some Random Commen with Id 179
180,39,6,35,0,Some Random Commen with Id 180
181,39,6,112,9,Some Random Commen with Id 181
